query,len,len_bucket,coles_cnt,wws_search_cnt,coles_url
macro bread,2,1,1,2,https://www.coles.com.au/search?q=macro%20bread
mckenzie tapioca,2,1,1,2,https://www.coles.com.au/search?q=mckenzie%20tapioca
parmesan dip,2,1,1,2,https://www.coles.com.au/search?q=parmesan%20dip
wonder cloth,2,1,1,2,https://www.coles.com.au/search?q=wonder%20cloth
handy andy,2,1,1,2,https://www.coles.com.au/search?q=handy%20andy
brown flax seeds,3,2,1,2,https://www.coles.com.au/search?q=brown%20flax%20seeds
gravox white sauce,3,2,1,2,https://www.coles.com.au/search?q=gravox%20white%20sauce
continental dutch curry,3,2,1,2,https://www.coles.com.au/search?q=continental%20dutch%20curry
darrell lea caramel,3,2,1,2,https://www.coles.com.au/search?q=darrell%20lea%20caramel
pureharvest oat milk,3,2,1,2,https://www.coles.com.au/search?q=pureharvest%20oat%20milk
coles washing capsules,3,2,1,2,https://www.coles.com.au/search?q=coles%20washing%20capsules
fudge hair wax,3,2,1,2,https://www.coles.com.au/search?q=fudge%20hair%20wax
colgate plax peppermint,3,2,1,2,https://www.coles.com.au/search?q=colgate%20plax%20peppermint
listerine teeth defense,3,2,1,2,https://www.coles.com.au/search?q=listerine%20teeth%20defense
coles apricot halves,3,2,1,2,https://www.coles.com.au/search?q=coles%20apricot%20halves
cook dine salt,3,2,1,2,https://www.coles.com.au/search?q=cook%20dine%20salt
dutch curry soup,3,2,1,2,https://www.coles.com.au/search?q=dutch%20curry%20soup
brown and wild,3,2,1,2,https://www.coles.com.au/search?q=brown%20and%20wild
curried pumpkin corn burger,4,3,1,2,https://www.coles.com.au/search?q=curried%20pumpkin%20corn%20burger
thick creamy classic vanilla,4,3,1,2,https://www.coles.com.au/search?q=thick%20creamy%20classic%20vanilla
oak vanilla malt milk,4,3,1,2,https://www.coles.com.au/search?q=oak%20vanilla%20malt%20milk
fairy dishwashing liquid original,4,3,1,2,https://www.coles.com.au/search?q=fairy%20dishwashing%20liquid%20original
evening primrose oil,4,3,1,2,https://www.coles.com.au/search?q=evening%20primrose%20oil
moconna indulgence instant coffee,4,3,1,2,https://www.coles.com.au/search?q=moconna%20indulgence%20instant%20coffee
amoy sauce light soy,4,3,1,2,https://www.coles.com.au/search?q=amoy%20sauce%20light%20soy
italian tomato with basil,4,3,1,2,https://www.coles.com.au/search?q=italian%20tomato%20with%20basil
onion oil,2,1,1,3,https://www.coles.com.au/search?q=onion%20oil
hommus and crackers,3,2,1,3,https://www.coles.com.au/search?q=hommus%20and%20crackers
marzena hair removal,3,2,1,3,https://www.coles.com.au/search?q=marzena%20hair%20removal
litre coles tomato juice,5,3,1,3,https://www.coles.com.au/search?q=litre%20coles%20tomato%20juice
arnotts choc mint slice,4,3,1,3,https://www.coles.com.au/search?q=arnotts%20choc%20mint%20slice
salt and vinegar thi,4,3,1,3,https://www.coles.com.au/search?q=salt%20and%20vinegar%20thi
peters gluten free icecream,4,3,1,3,https://www.coles.com.au/search?q=peters%20gluten%20free%20icecream
coles southern blue whiting,4,3,1,3,https://www.coles.com.au/search?q=coles%20southern%20blue%20whiting
twinings english extra strong,4,3,1,3,https://www.coles.com.au/search?q=twinings%20english%20extra%20strong
bread crumbs gluten free,4,3,1,3,https://www.coles.com.au/search?q=bread%20crumbs%20gluten%20free
fruit cocktails,2,1,1,4,https://www.coles.com.au/search?q=fruit%20cocktails
straightening brush,2,1,1,4,https://www.coles.com.au/search?q=straightening%20brush
poptarts,1,1,1,4,https://www.coles.com.au/search?q=poptarts
moccona barista reserve,3,2,1,4,https://www.coles.com.au/search?q=moccona%20barista%20reserve
tuna sweet chili,3,2,1,4,https://www.coles.com.au/search?q=tuna%20sweet%20chili
stainless steel wipe,3,2,1,4,https://www.coles.com.au/search?q=stainless%20steel%20wipe
loreal revitalift night cream,4,3,1,4,https://www.coles.com.au/search?q=loreal%20revitalift%20night%20cream
super crunchy peanut butter,4,3,1,4,https://www.coles.com.au/search?q=super%20crunchy%20peanut%20butter
gluten free cheese onion chips,5,3,1,4,https://www.coles.com.au/search?q=gluten%20free%20cheese%20onion%20chips
